;beta;rdl;XH;YH;NH;XPl;XPr;YPl;YPr;delta;n;U
227;-20.0;-0.7942129815012835;-146.46826661365935;10.76240944935958;74.42467864988876;12.071147081395347;15.392281453488373;-2.320423447747369;-2.783632805270808;0.0;14.8;1.458
217;-20.0;-0.5755874264991808;-120.07754061436935;-27.72067513001201;-50.690351146624266;14.722366125760647;17.105317444219068;-5.234493295306923;-5.086259849073889;0.0;14.8;1.458
202;-20.0;-0.3999015480363111;-79.55013853862455;-32.82071238106576;-85.72860849046745;14.771061782394751;16.178311645708035;-6.360889005037961;-6.572387979222293;0.0;14.8;1.458
150;-20.0;0.0;-18.128286032276016;-115.06631608235948;-167.48243372287143;14.360244852532;16.090139120756817;-10.041716750139122;-6.177360133555927;0.0;14.8;1.458
202;-20.0;0.3999015480363111;32.93637597984926;-240.59733677147665;-304.8237493805003;14.771061782394751;16.178311645708035;-13.616890732295012;-8.226545283710301;0.0;14.8;1.458
217;-20.0;0.5755874264991808;65.50994979286833;-339.2877243121787;-439.07410724992747;14.722366125760647;17.105317444219068;-17.84918742346058;-10.252686515652792;0.0;14.8;1.458
227;-20.0;0.7942129815012835;93.32460609040352;-380.517099763313;-516.1704701264005;12.071147081395347;15.392281453488373;-16.856517133647976;-12.685232148217562;0.0;14.8;1.458
148;-14.0;0.0;-14.46245101088647;-81.24413167444271;-103.73162519440125;12.23751166407465;13.123877656817005;-6.6173659927423545;-4.564065225505443;0.0;14.8;1.458
225;-10.0;-0.78387010175102;-81.19953098959157;91.0135490681614;171.05986076277725;10.372681313953487;9.77475368023256;2.5861043572752096;3.2027548988385317;0.0;14.8;1.458
215;-10.0;-0.5715927202374748;-66.57373250802246;63.83544253246264;92.31129182701596;10.657755555555555;10.99785404040404;0.7623316200146575;0.658416528838262;0.0;14.8;1.458
200;-10.0;-0.3978879433005861;-46.29914879510043;23.84336769555253;16.29065836112065;11.307746856205576;12.74773920174959;-3.1664692428650474;-3.561017130852647;0.0;14.8;1.458
146;-10.0;0.0;-11.796239809422977;-53.88139756484912;-72.42294250926417;10.94702488088936;12.039560614081523;-4.514339862361037;-3.4290942244573848;0.0;14.8;1.458
200;-10.0;0.3978879433005861;24.246208652946244;-162.0042073237647;-188.20675010786752;11.307746856205576;12.74773920174959;-5.697294071653924;-3.948334874596272;0.0;14.8;1.458
215;-10.0;0.5715927202374748;33.216861043376;-213.02744487589692;-270.0952847203493;10.657755555555555;10.99785404040404;-4.963181963449001;-3.782631609646344;0.0;14.8;1.458
225;-10.0;0.78387010175102;46.215954861684594;-255.0092281379288;-364.6455511441726;10.372681313953487;9.77475368023256;-10.43533243867056;-9.064205968605975;0.0;14.8;1.458
144;-8.0;0.0;-10.00349597238205;-45.08449942462602;-57.93437468354431;10.175917146144991;11.583532796317607;-4.257856156501727;-3.3793540621403912;0.0;14.8;1.458
142;-6.0;0.0;-8.625777474029524;-32.179699289229085;-44.801611919081466;9.885074357572444;11.387222525970476;-4.015306724986331;-3.3154857025697098;0.0;14.8;1.458
223;-4.0;-0.7766552498535169;-43.23649113091158;149.6294449955585;218.98993435709403;8.384575;7.838094767441861;9.31809052302442;9.717577807012743;0.0;14.8;1.458
213;-4.0;-0.5672716003131596;-35.46206769105149;117.17159836754786;132.36844712098798;9.741345445240531;9.126181166837258;4.012860087809495;4.209233679496967;0.0;14.8;1.458
198;-4.0;-0.3965727124064169;-24.56330790260428;71.81096975416129;62.34195657835914;10.54103444505194;10.173264078731544;0.1414879525287715;0.2402558158931202;0.0;14.8;1.458
168;-4.0;-0.1994372016713366;-18.451941010184527;22.632818418868123;1.513087217998617;8.02068895348837;8.785233720930233;-0.1033147156486056;-3.149895258107927;0.0;14.8;1.458
140;-4.0;0.0;-7.730619737561509;-21.46198961180973;-29.42767187534172;9.49327392017496;10.410606889010388;-4.4451804264625485;-3.634905904866048;0.0;14.8;1.458
168;-4.0;0.1994372016713366;-2.825187187489892;-74.80649329096114;-75.22710340520791;8.02068895348837;8.785233720930233;-2.1641253890025567;-5.4779617884037;0.0;14.8;1.458
198;-4.0;0.3965727124064169;5.457027213703242;-115.4243918208644;-132.9446020786325;10.54103444505194;10.173264078731544;-2.4486035929363275;-2.494514011999745;0.0;14.8;1.458
213;-4.0;0.5672716003131596;8.445742501696317;-165.67276358760927;-209.2592468086031;9.741345445240531;9.126181166837258;-2.899024399253617;-2.6661905532509538;0.0;14.8;1.458
223;-4.0;0.7766552498535169;11.941985782074363;-205.1990118560236;-298.2980263175591;8.384575;7.838094767441861;-8.799565418373259;-8.177131748873212;0.0;14.8;1.458
136;-2.0;0.0;-7.157910333515582;-10.569373974849643;-15.192332148715147;9.660228540185894;9.540331875341716;-4.0010453799890655;-3.5098858939311097;0.0;14.8;1.458
221;0.01;-0.7699130369453558;-10.013157554992024;178.31686564095384;248.25206758355475;8.327970930232558;8.076076034883721;12.210362259791424;12.096343265363972;0.0;14.8;1.458
205;0.01;-0.5636005034806532;-10.108569414770257;143.4724190256252;163.48118841223288;9.648077356557376;9.265554815573772;4.984048659974507;4.913749138256207;0.0;14.8;1.458
190;0.01;-0.3969927145525863;-7.234535525705279;96.61158068690597;93.65053214732336;10.451047278724571;10.207131390874109;4.535660355548782;3.9890012366452097;0.0;14.8;1.458
157;0.01;-0.1979132488380971;-6.319312779971712;51.39743459370937;37.82891799076262;10.72945523255814;10.380609883720927;5.590295917033691;4.798788876183912;0.0;14.8;1.458
118;0.01;0.0;-6.020298372093023;-1.003420953488372;0.7711521886046512;9.494172093023256;9.538073255813954;-2.781944593023256;-2.372452162790698;0.0;14.8;1.458
157;0.01;0.1979132488380971;-7.946561801423634;-50.9360038146396;-37.13125189053007;10.72945523255814;10.380609883720927;0.679337792268635;0.0392284726532974;0.0;14.8;1.458
190;0.01;0.3969927145525863;-10.178718361045682;-93.43622255606483;-97.7675479832772;10.451047278724571;10.207131390874109;-1.6916466182602514;-1.5790563336847812;0.0;14.8;1.458
205;0.01;0.5636005034806532;-14.101122378262527;-139.43741677152687;-172.16434681797057;9.648077356557376;9.265554815573772;-1.7411168986429382;-1.8336189906140248;0.0;14.8;1.458
221;0.01;0.7699130369453558;-20.56693256128705;-179.36023522234916;-259.6891527575082;8.327970930232558;8.076076034883721;-7.244182283047237;-6.779046230480249;0.0;14.8;1.458
120;2.0;0.0;-6.806776744186046;9.11362965116279;15.960118848837208;9.458922674418604;9.586622674418606;-0.3910086627906977;-0.1535623255813953;0.0;14.8;1.458
229;4.0;-0.7632728972439955;22.73890207594003;222.22706565379804;316.8713477228072;8.663902906976745;8.545322412790696;14.807125006450292;15.149676913687866;0.0;14.8;1.458
207;4.0;-0.5588781616149032;8.705977378335861;166.04027570807764;202.6035899789161;9.762598484848484;9.586236868686868;5.869856878471852;5.865826287830105;0.0;14.8;1.458
192;4.0;-0.3976112086119067;5.13166992046366;117.3165894220118;128.66812125746125;10.386116457080371;10.254647895024604;6.82419006365636;6.451720360129741;0.0;14.8;1.458
160;4.0;-0.1974153444980146;0.7786407042409813;72.91855126204234;70.70993255696709;10.986427906976743;10.403853488372093;6.449847641515992;6.642484718912659;0.0;14.8;1.458
122;4.0;0.0;-6.844151162790698;21.36290406976744;30.167611918604653;10.31836046511628;9.455227906976743;0.7192763662790698;1.6543411860465116;0.0;14.8;1.458
160;4.0;0.1974153444980146;-15.994202111217724;-22.28913473878653;-4.807190855339179;10.986427906976743;10.403853488372093;4.159958951507265;4.897664490389664;0.0;14.8;1.458
192;4.0;0.3976112086119067;-23.78813721406672;-67.66078100211021;-66.35347494144156;10.386116457080371;10.254647895024604;0.7404956872330835;1.5905307958829424;0.0;14.8;1.458
207;4.0;0.5588781616149032;-33.23308284298233;-112.96700740504733;-137.80896343224944;9.762598484848484;9.586236868686868;-0.6782733734213462;-0.1015340858099032;0.0;14.8;1.458
229;4.0;0.7632728972439955;-54.90519318059118;-130.79676890961196;-208.45056988559784;8.663902906976745;8.545322412790696;-3.830810018078197;-2.911412518339028;0.0;14.8;1.458
124;6.0;0.0;-7.722201744186045;33.58231976744186;43.12206313953489;10.710872093023257;9.481221511627906;1.178330558139535;2.453465813953488;0.0;14.8;1.458
126;8.0;0.0;-8.666040697674418;46.7901511627907;56.84223906976744;10.869843023255816;9.641736046511628;1.7826882790697671;3.188959593023256;0.0;14.8;1.458
239;10.0;-0.782927201585281;47.64121758609251;259.3073229021766;365.2897582519323;10.21902831976744;10.13358871511628;20.485952955096728;20.44200277424424;0.0;14.8;1.458
209;10.0;-0.5571077421179895;35.38039397954392;211.62856985718145;260.6939185747512;11.209568686868684;10.248461515151517;7.125940059511558;8.213225019591366;0.0;14.8;1.458
194;10.0;-0.3981287656282216;24.09196879446077;161.15608477558987;177.6255011423155;12.329314379442318;10.587118644067798;7.8193759190529555;9.292966353551412;0.0;14.8;1.458
163;10.0;-0.1999180609919704;6.415957475751528;109.60125834619664;112.6371982510598;9.800448255813954;8.83763488372093;6.539893000556728;5.188882676418657;0.0;14.8;1.458
128;10.0;0.0;-9.496692728266812;56.87838162930564;70.88272979770366;11.012219792236191;10.088200656096229;1.9550492673592128;3.8423449972662658;0.0;14.8;1.458
163;10.0;0.1999180609919704;-29.41711238272828;17.3685018398499;39.52584644475415;9.800448255813954;8.83763488372093;4.789045755257226;2.148195858465064;0.0;14.8;1.458
194;10.0;0.3981287656282216;-45.1308995872437;-17.99333120533292;-19.63574988195464;12.329314379442318;10.587118644067798;5.385619347178364;6.165650966405405;0.0;14.8;1.458
209;10.0;0.5571077421179895;-61.84988539368533;-58.09227840263597;-94.5405793347512;11.209568686868684;10.248461515151517;2.3454141425086448;3.292909778388432;0.0;14.8;1.458
239;10.0;0.782927201585281;-79.26865243492972;-80.15220480915337;-175.83027447332768;10.21902831976744;10.13358871511628;0.2360764751358264;0.3607795745929731;0.0;14.8;1.458
130;14.0;0.0;-12.019672498633131;82.3485729907053;95.31084898851832;11.460891197375616;10.573408966648442;2.691350574084199;5.505761071623838;0.0;14.8;1.458
235;20.0;-0.8082929439352896;109.78403932925636;400.07346128733474;569.5651329215959;17.62848139534884;13.34164778488372;20.93545304509115;26.352844880960134;0.0;14.8;1.458
211;20.0;-0.5422602018387765;79.87011069549048;329.18333306003694;415.5275199111608;16.030715656565658;12.826252818181818;13.131834073433096;18.4992190456836;0.0;14.8;1.458
196;20.0;-0.3991756356172363;44.39454297655922;245.23844086852512;285.11732191541233;15.130728813559324;13.31480973209404;10.646398097770524;15.219597413143974;0.0;14.8;1.458
165;20.0;-0.1984386163440975;15.359926954018867;182.56402591599664;215.32729106525645;13.65980988372093;12.296627325581396;9.369079188908524;10.503560721953743;0.0;14.8;1.458
132;20.0;0.0;-13.524712411153637;110.57913067249862;139.99963663203937;13.47250410060142;11.596473482777473;3.3726233788955717;8.068963367960635;0.0;14.8;1.458
165;20.0;0.1984386163440975;-42.61958043076306;83.973660130515;145.3997226556738;13.65980988372093;12.296627325581396;7.554205880858916;7.07829530130207;0.0;14.8;1.458
196;20.0;0.3991756356172363;-71.64528887049033;57.553168721414735;85.14726310350511;15.130728813559324;13.31480973209404;8.928940983398295;9.795665720538894;0.0;14.8;1.458
211;20.0;0.5422602018387765;-115.91756928134906;57.151948091478175;37.88591915550589;16.030715656565658;12.826252818181818;7.942110360910338;9.535126853306304;0.0;14.8;1.458
235;20.0;0.8082929439352896;-153.89957700367495;65.91426960801408;-37.41431492647956;17.62848139534884;13.34164778488372;9.26993994328094;10.597894607411956;0.0;14.8;1.458
0;20.0;0.4;-90.36446457511178;77.45549219788857;13.954882553122191;0.0;0.0;0.0;0.0;0.0;0.0;1.458
1;-20.0;0.4;24.84546457511178;-242.54850780211143;-73.7221174468778;0.0;0.0;0.0;0.0;0.0;0.0;1.458
2;45.0;0.4;-133.45042080137674;333.0834921978886;47.697882553122184;0.0;0.0;0.0;0.0;0.0;0.0;1.458
3;-45.0;0.4;65.90342080137673;-492.0345078021114;-97.56878411354447;0.0;0.0;0.0;0.0;0.0;0.0;1.458
4;70.0;0.4;-140.41431665210507;603.0594921978885;5.047882553122191;0.0;0.0;0.0;0.0;0.0;0.0;1.458
5;-70.0;0.4;106.02831665210505;-781.5645078021115;-82.1021174468778;0.0;0.0;0.0;0.0;0.0;0.0;1.458
6;0.0;0.4;-31.747;-94.79250780211143;-23.34745078021114;0.0;0.0;0.0;0.0;0.0;0.0;1.458
7;-20.0;-0.4;-90.36446457511178;-77.45549219788857;-13.954882553122191;0.0;0.0;0.0;0.0;0.0;0.0;1.458
8;20.0;-0.4;24.84546457511178;242.54850780211143;73.7221174468778;0.0;0.0;0.0;0.0;0.0;0.0;1.458
9;-45.0;-0.4;-133.45042080137674;-333.0834921978886;-47.697882553122184;0.0;0.0;0.0;0.0;0.0;0.0;1.458
10;45.0;-0.4;65.90342080137673;492.0345078021114;97.56878411354447;0.0;0.0;0.0;0.0;0.0;0.0;1.458
11;-70.0;-0.4;-140.41431665210507;-603.0594921978885;-5.047882553122191;0.0;0.0;0.0;0.0;0.0;0.0;1.458
12;70.0;-0.4;106.02831665210505;781.5645078021115;82.1021174468778;0.0;0.0;0.0;0.0;0.0;0.0;1.458
13;0.0;-0.4;-31.747;94.79250780211143;23.34745078021114;0.0;0.0;0.0;0.0;0.0;0.0;1.458
14;20.0;0.8;-152.54892915022356;42.96498439577712;-19.64890156042228;0.0;0.0;0.0;0.0;0.0;0.0;1.458
15;-20.0;0.8;71.58592915022356;-397.9370156042229;-109.15423489375561;0.0;0.0;0.0;0.0;0.0;0.0;1.458
16;45.0;0.8;-255.08184160275346;331.4629843957772;2.029098439577716;0.0;0.0;0.0;0.0;0.0;0.0;1.458
17;-45.0;0.8;167.99384160275346;-734.9110156042228;-145.5042348937556;0.0;0.0;0.0;0.0;0.0;0.0;1.458
18;70.0;0.8;-297.6186333042101;687.3549843957771;-44.47090156042228;0.0;0.0;0.0;0.0;0.0;0.0;1.458
19;-70.0;0.8;232.6166333042101;-1083.1670156042228;-132.8042348937556;0.0;0.0;0.0;0.0;0.0;0.0;1.458
20;0.0;0.8;-37.702;-194.99301560422285;-51.32623489375561;0.0;0.0;0.0;0.0;0.0;0.0;1.458
21;-20.0;-0.8;-152.54892915022356;-42.96498439577712;19.64890156042228;0.0;0.0;0.0;0.0;0.0;0.0;1.458
22;20.0;-0.8;71.58592915022356;397.9370156042229;109.15423489375561;0.0;0.0;0.0;0.0;0.0;0.0;1.458
23;-45.0;-0.8;-255.08184160275346;-331.4629843957772;-2.029098439577716;0.0;0.0;0.0;0.0;0.0;0.0;1.458
24;45.0;-0.8;167.99384160275346;734.9110156042228;145.5042348937556;0.0;0.0;0.0;0.0;0.0;0.0;1.458
25;-70.0;-0.8;-297.6186333042101;-687.3549843957771;44.47090156042228;0.0;0.0;0.0;0.0;0.0;0.0;1.458
26;70.0;-0.8;232.6166333042101;1083.1670156042228;132.8042348937556;0.0;0.0;0.0;0.0;0.0;0.0;1.458
27;0.0;-0.8;-37.702;194.99301560422285;51.32623489375561;0.0;0.0;0.0;0.0;0.0;0.0;1.458
